,carat,cut,color,clarity,depth,table,price,length,width,height
12953,1.3,Ideal,H,VS2,62.9,56.0,5387,7.0,6.96,4.39
25843,1.71,Very Good,H,VVS2,61.2,62.0,14893,7.59,7.65,4.66
13135,1.26,Premium,H,SI2,60.9,57.0,5434,7.03,6.96,4.26
33727,0.41,Very Good,H,VVS2,61.3,54.0,839,4.75,4.87,2.95
29753,0.35,Ideal,I,VS1,60.9,57.0,709,4.59,4.54,2.78
14701,0.3,Ideal,G,VS1,61.4,55.0,605,4.31,4.36,2.66
27426,2.16,Ideal,I,SI1,62.0,56.0,18029,8.28,8.3,5.14
23218,2.26,Premium,H,SI2,61.9,58.0,11226,8.37,8.33,5.17
33664,0.6,Premium,H,I1,62.1,62.0,835,5.33,5.27,3.3
16591,1.06,Very Good,F,VS2,62.7,55.0,6627,6.54,6.5,4.09
36938,0.23,Very Good,E,VVS1,61.7,59.0,478,3.97,4.0,2.46
50393,0.7,Good,H,VS2,61.4,56.0,2253,5.73,5.8,3.54
38565,0.35,Ideal,F,IF,60.9,56.0,1035,4.54,4.56,2.77
23069,1.18,Ideal,E,VS1,61.4,57.0,11104,6.77,6.81,4.17
22852,2.01,Fair,G,SI2,65.9,57.0,10887,7.85,7.78,5.15
33706,0.3,Ideal,E,VVS1,62.6,54.0,838,4.3,4.33,2.7
15496,1.12,Ideal,G,VS2,62.1,57.0,6209,6.6,6.63,4.11
20532,1.51,Very Good,I,SI1,59.3,59.0,8856,7.49,7.59,4.47
84,0.26,Good,E,VVS1,57.9,60.0,554,4.22,4.25,2.45
42908,0.51,Very Good,E,SI1,60.8,57.0,1363,5.12,5.17,3.13
43651,0.53,Ideal,H,VS2,61.9,55.2,1435,5.21,5.24,3.24
29016,0.31,Ideal,G,VVS2,61.5,56.0,687,4.38,4.4,2.7
28863,0.36,Ideal,H,SI1,61.4,56.0,684,4.56,4.59,2.81
25036,0.38,Good,E,SI1,62.8,61.0,641,4.6,4.67,2.91
4754,0.91,Very Good,F,SI2,61.2,59.0,3688,6.2,6.22,3.8
2901,0.84,Ideal,I,VS1,62.3,59.0,3283,5.99,6.04,3.75
10622,1.0,Ideal,E,SI2,61.8,57.0,4829,6.43,6.39,3.96
1281,0.81,Ideal,H,SI1,62.3,58.0,2951,5.95,5.96,3.71
896,0.77,Ideal,H,SI1,62.4,56.0,2875,5.84,5.9,3.66
5647,1.12,Good,J,SI1,63.7,61.0,3880,6.5,6.54,4.15
11597,1.16,Very Good,D,SI2,62.5,60.0,5044,6.64,6.7,4.17
21334,1.24,Ideal,F,VS2,62.0,57.0,9478,6.83,6.89,4.25
2924,0.73,Very Good,G,VVS2,61.4,58.0,3288,5.83,5.86,3.59
3197,0.91,Good,G,SI1,64.3,60.0,3344,6.04,6.12,3.91
25433,2.04,Premium,H,SI2,62.8,58.0,14184,8.11,8.06,5.08
45343,0.52,Very Good,D,VS2,60.0,57.0,1664,5.22,5.25,3.14
8639,1.06,Premium,I,SI1,61.9,59.0,4452,6.52,6.5,4.03
50119,0.5,Ideal,F,VVS2,61.3,59.0,2210,5.05,5.1,3.11
43754,0.61,Premium,I,VS2,61.8,56.0,1438,5.44,5.41,3.35
9079,1.02,Good,H,SI2,61.4,60.0,4521,6.44,6.49,3.97
20879,1.59,Good,F,SI2,63.6,57.0,9100,7.43,7.39,4.71
16850,1.0,Premium,E,VS2,62.7,59.0,6720,6.38,6.31,3.98
53060,0.72,Very Good,E,SI1,63.1,60.0,2608,5.65,5.7,3.58
10375,1.0,Very Good,E,SI2,61.2,58.0,4777,6.37,6.41,3.91
14735,1.25,Ideal,H,SI2,62.2,55.4,5932,6.89,6.94,4.29
14274,1.29,Ideal,J,VS1,62.0,57.0,5779,6.98,6.92,4.31
29618,0.36,Ideal,J,SI1,62.3,53.0,439,4.59,4.62,2.87
5763,1.01,Premium,J,VVS2,62.7,59.0,3897,6.46,6.39,4.03
24421,1.5,Very Good,G,VS2,62.5,59.0,12672,7.23,7.27,4.53
5091,0.9,Good,D,SI1,64.1,56.0,3755,6.04,6.07,3.88
18842,1.51,Good,H,SI2,63.1,60.0,7723,7.23,7.28,4.58
46932,0.52,Premium,G,VS1,62.4,60.0,1815,5.12,5.11,3.19
35742,0.3,Premium,D,VS2,62.2,60.0,911,4.3,4.28,2.67
49389,0.57,Ideal,D,VS2,61.4,56.0,2103,5.37,5.34,3.29
48580,0.54,Premium,D,VS2,60.9,58.0,1993,5.31,5.27,3.22
31717,0.41,Ideal,D,SI1,60.7,55.0,771,4.83,4.86,2.94
35790,0.4,Ideal,H,VVS1,62.1,57.0,913,4.68,4.72,2.92
22630,1.5,Very Good,F,SI1,63.4,60.0,10684,7.2,7.27,4.59
44803,0.5,Very Good,E,VS2,61.8,58.0,1624,5.05,5.11,3.14
23189,1.05,Ideal,D,VVS2,61.9,54.0,11196,6.53,6.55,4.05
47873,0.52,Ideal,G,VVS2,61.5,56.0,1911,5.18,5.2,3.19
37821,0.31,Ideal,E,IF,61.3,58.0,1002,4.37,4.4,2.69
21088,1.51,Good,G,SI1,63.1,56.0,9258,7.2,7.28,4.57
7625,1.01,Very Good,H,SI2,61.5,62.0,4262,6.35,6.44,3.93
8524,1.04,Very Good,F,SI2,60.0,61.0,4427,6.5,6.57,3.92
38274,0.21,Premium,E,VS2,60.5,59.0,386,3.87,3.83,2.33
43956,0.31,Ideal,F,SI1,60.5,57.0,516,4.4,4.43,2.67
52906,0.77,Very Good,G,SI1,63.2,57.0,2586,5.86,5.76,3.67
741,0.33,Premium,G,SI2,62.6,58.0,557,4.42,4.4,2.76
25508,1.2,Ideal,F,IF,61.6,57.0,14300,6.84,6.79,4.2
33762,0.4,Very Good,G,SI1,63.2,58.0,840,4.7,4.61,2.94
3098,1.02,Ideal,G,I1,61.5,56.0,3321,6.46,6.49,3.98
17087,1.04,Very Good,G,VS1,63.4,59.0,6814,6.46,6.38,4.07
7599,1.01,Premium,F,SI2,61.8,56.0,4257,6.43,6.38,3.96
10261,1.01,Good,E,SI2,63.7,58.0,4751,6.36,6.32,4.04
18773,1.03,Premium,E,VS1,59.6,59.0,7677,6.57,6.59,3.92
40541,0.41,Premium,G,VVS1,59.7,60.0,1148,4.85,4.83,2.89
391,0.32,Premium,I,SI1,62.8,58.0,554,4.39,4.34,2.74
23366,0.31,Ideal,I,VS1,61.7,55.0,424,4.36,4.39,2.7
34707,0.37,Ideal,E,VS1,61.4,56.0,874,4.65,4.66,2.86
38005,0.43,Very Good,F,VS1,63.4,57.0,1008,4.8,4.76,3.03
4442,1.03,Fair,H,SI1,65.1,57.0,3617,6.43,6.36,4.16
10944,1.01,Good,F,SI1,63.5,59.0,4899,6.29,6.38,4.02
30469,0.31,Very Good,D,SI1,63.4,55.0,732,4.3,4.28,2.72
40962,0.51,Premium,I,VS2,62.9,55.0,1179,5.12,5.08,3.21
48561,0.56,Ideal,D,VS2,61.2,56.0,1991,5.31,5.38,3.27
19692,0.3,Ideal,G,VS1,61.8,57.0,624,4.29,4.32,2.66
35330,0.33,Ideal,E,VVS2,60.7,55.0,898,4.49,4.5,2.73
20958,1.5,Premium,D,SI2,58.7,57.0,9173,7.48,7.42,4.37
9645,1.01,Ideal,I,SI1,60.3,58.0,4641,6.5,6.56,3.94
23665,1.65,Premium,D,SI2,61.6,58.0,11712,7.59,7.55,4.66
39059,0.47,Ideal,H,VS2,62.7,55.0,1058,5.08,4.95,3.15
52547,0.6,Ideal,G,IF,62.2,55.0,2533,5.36,5.44,3.36
6412,0.74,Fair,D,VVS2,65.4,53.0,4040,5.73,5.71,3.74
43880,0.59,Very Good,F,SI1,62.4,59.0,1452,5.33,5.37,3.34
29340,0.31,Premium,G,VS2,59.2,60.0,698,4.47,4.42,2.63
1404,0.27,Very Good,F,IF,60.4,58.0,560,4.18,4.2,2.53
51104,0.72,Very Good,I,VS2,61.1,56.0,2337,5.76,5.79,3.53
9877,0.9,Very Good,F,VS2,62.6,58.0,4681,6.08,6.13,3.82
10774,1.02,Premium,F,SI1,58.4,59.0,4855,6.65,6.57,3.86
17264,1.19,Ideal,E,SI1,61.3,57.0,6911,6.81,6.83,4.18
29937,0.34,Very Good,E,SI1,63.3,57.0,714,4.47,4.44,2.82
3322,0.81,Ideal,E,SI1,61.5,56.0,3373,6.01,6.03,3.7
16016,1.22,Very Good,G,SI2,63.2,58.0,6409,6.82,6.76,4.29
4679,0.8,Very Good,G,VS1,62.7,56.0,3673,5.9,5.94,3.71
44224,0.57,Premium,G,VS2,61.1,59.0,1571,5.39,5.32,3.27
13036,0.36,Very Good,F,SI1,60.3,58.0,600,4.6,4.65,2.79
48894,0.54,Ideal,D,VS1,61.4,57.0,2039,5.21,5.24,3.21
44559,0.52,Ideal,D,SI1,61.8,56.0,1605,5.18,5.15,3.19
25438,1.68,Very Good,G,VS2,62.7,58.0,14192,7.51,7.54,4.72
3317,0.87,Ideal,H,VS2,62.3,57.0,3372,6.08,6.12,3.8
31905,0.3,Ideal,G,VS1,62.9,57.0,776,4.31,4.28,2.7
44486,0.51,Very Good,D,VS2,62.9,56.0,1597,5.07,5.1,3.2
17560,2.25,Fair,G,I1,64.9,58.0,7069,8.15,8.12,5.28
41103,0.44,Very Good,H,IF,61.1,57.0,1194,4.91,4.94,3.01
17939,1.25,Premium,H,VS2,60.4,59.0,7246,6.92,6.96,4.19
41216,0.4,Premium,D,VVS2,62.0,61.0,1206,4.72,4.7,2.92
50672,0.34,Ideal,D,IF,59.8,57.0,2287,4.57,4.59,2.74
23023,0.35,Ideal,E,SI2,61.4,56.0,630,4.55,4.51,2.78
31479,0.34,Premium,H,VS1,60.6,60.0,765,4.49,4.45,2.71
311,0.74,Premium,G,VS1,62.9,60.0,2800,5.74,5.68,3.59
3920,0.56,Ideal,D,VVS1,61.9,56.0,3496,5.32,5.28,3.28
30715,0.33,Ideal,F,VS1,61.2,57.0,738,4.46,4.49,2.74
51367,0.71,Ideal,F,SI2,61.2,55.0,2365,5.77,5.79,3.54
10212,1.05,Premium,E,SI2,60.4,58.0,4742,6.59,6.55,3.97
2102,0.9,Good,H,SI2,64.3,60.0,3115,6.0,6.1,3.89
52887,0.77,Very Good,I,VS2,60.2,59.0,2584,5.89,5.97,3.57
20188,1.51,Very Good,G,SI2,60.5,54.6,8637,7.36,7.4,4.46
52044,0.76,Premium,E,SI2,62.4,58.0,2451,5.83,5.86,3.65
31917,0.3,Very Good,G,VS1,63.1,59.0,776,4.27,4.25,2.69
39980,0.41,Premium,I,VVS1,62.0,56.0,1107,4.77,4.75,2.95
8924,1.01,Good,H,SI1,62.9,57.0,4496,6.27,6.36,3.97
10880,1.03,Very Good,H,SI1,61.4,57.0,4879,6.45,6.54,3.99
29079,0.43,Very Good,E,SI2,61.8,60.0,688,4.83,4.85,2.99
27973,0.3,Ideal,E,VS2,61.5,56.0,658,4.29,4.33,2.65
48852,0.7,Good,E,SI2,63.6,65.0,2032,5.67,5.55,3.57
36332,0.32,Premium,G,VVS2,61.6,60.0,936,4.4,4.37,2.7
3925,0.74,Ideal,E,SI1,60.8,56.0,3497,5.85,5.89,3.57
104,0.8,Ideal,I,VS1,62.9,56.0,2760,5.94,5.87,3.72
2756,0.83,Good,E,SI1,63.7,59.0,3250,5.95,5.89,3.77
22962,1.41,Very Good,F,VS1,63.4,63.0,11010,7.13,6.97,4.47
8841,0.9,Good,G,VS1,63.9,60.0,4479,6.09,6.14,3.91
33453,0.32,Premium,G,VS1,62.1,58.0,828,4.39,4.37,2.72
35689,0.46,Ideal,I,VS1,62.3,56.0,911,4.93,4.96,3.08
20591,1.52,Premium,D,SI2,60.2,60.0,8897,7.46,7.4,4.47
42744,0.51,Premium,E,SI1,61.8,58.0,1343,5.11,5.15,3.17
13297,1.03,Premium,D,SI1,61.8,57.0,5491,6.53,6.49,4.02
36315,0.32,Ideal,G,VVS2,61.3,56.0,936,4.44,4.43,2.72
9190,1.04,Ideal,F,SI2,61.8,56.0,4547,6.49,6.53,4.02
8028,1.08,Ideal,H,SI1,62.2,57.0,4333,6.56,6.6,4.09
22351,0.31,Ideal,H,VS2,62.2,55.0,628,4.39,4.36,2.72
35588,0.4,Premium,E,SI1,62.9,58.0,907,4.74,4.71,2.97
21938,1.51,Premium,H,SI1,61.2,60.0,10012,7.46,7.37,4.54
30785,0.33,Very Good,D,VS1,61.6,53.0,742,4.45,4.48,2.75
9513,0.9,Ideal,D,SI1,62.7,56.0,4612,6.18,6.16,3.87
33779,0.32,Premium,D,VS2,62.9,59.0,842,4.39,4.36,2.75
10821,1.01,Ideal,G,SI1,60.7,58.0,4868,6.55,6.52,3.97
4880,0.79,Ideal,E,SI1,61.6,55.0,3715,5.94,6.04,3.69
39754,0.56,Ideal,J,VS2,61.7,54.0,1094,5.31,5.36,3.29
40114,0.41,Ideal,F,VVS2,60.1,57.0,1115,4.83,4.85,2.91
34659,0.31,Ideal,E,VS2,61.8,55.0,872,4.35,4.33,2.68
7342,1.01,Good,G,SI2,63.7,56.0,4211,6.26,6.34,4.01
28207,0.4,Very Good,H,SI1,62.1,62.0,666,4.7,4.73,2.93
12894,1.01,Ideal,E,SI1,62.1,57.0,5372,6.4,6.45,3.99
36458,0.31,Ideal,D,VS2,62.2,55.0,942,4.34,4.31,2.69
34593,0.3,Ideal,G,SI1,62.3,54.0,469,4.29,4.32,2.68
43823,0.51,Good,E,SI1,63.9,56.0,1443,5.11,5.07,3.25
45378,0.72,Very Good,J,SI1,62.7,56.0,1666,5.66,5.72,3.57
25037,0.38,Premium,I,SI2,62.7,58.0,641,4.61,4.57,2.88
1784,0.62,Very Good,D,VVS2,58.1,63.0,3050,5.59,5.66,3.27
11596,1.06,Premium,G,SI1,61.9,55.0,5043,6.61,6.54,4.07
15315,1.37,Very Good,G,SI2,62.4,58.0,6148,7.0,7.1,4.4
29072,0.3,Very Good,E,VVS2,62.5,61.0,688,4.23,4.28,2.66
44416,0.58,Premium,F,VS2,62.2,55.0,1586,5.4,5.31,3.33
419,0.26,Ideal,E,VS1,61.5,57.0,556,4.09,4.12,2.52
29392,0.31,Very Good,E,SI1,63.2,59.0,698,4.31,4.24,2.7
28296,0.3,Ideal,G,SI1,60.6,56.0,432,4.35,4.4,2.65
354,0.74,Premium,F,VS2,61.9,56.0,2805,5.8,5.77,3.58
29118,0.34,Very Good,H,VS2,63.3,56.0,689,4.45,4.39,2.8
43808,0.51,Premium,G,VS2,61.3,59.0,1443,5.17,5.11,3.15
52823,0.7,Premium,D,SI2,60.4,60.0,2573,5.74,5.79,3.48
13912,1.06,Very Good,H,SI1,59.3,59.0,5664,6.66,6.7,3.96
7398,0.33,Ideal,H,VS1,61.4,57.0,579,4.44,4.49,2.74
30383,0.43,Very Good,I,VS1,60.9,55.0,730,4.89,4.99,3.01
44931,0.51,Very Good,D,VS2,63.2,60.0,1633,5.04,5.06,3.19
30693,0.3,Premium,F,VVS2,61.4,59.0,737,4.31,4.36,2.66
38164,0.34,Ideal,G,IF,61.9,54.0,1014,4.46,4.49,2.77
815,0.71,Premium,H,VVS2,61.5,62.0,2863,5.74,5.68,3.51
51370,0.61,Ideal,F,VS1,62.3,55.0,2366,5.46,5.49,3.41
13965,1.01,Very Good,H,VVS2,59.6,63.0,5684,6.55,6.47,3.88
23463,1.31,Ideal,G,VVS2,59.2,59.0,11459,7.12,7.18,4.23
26304,1.7,Premium,E,SI1,60.1,58.0,15804,7.78,7.74,4.66
38302,0.28,Ideal,E,VS1,62.0,56.0,487,4.18,4.21,2.6
27212,2.29,Premium,H,VS2,61.6,60.0,17539,8.45,8.43,5.2
30323,0.36,Very Good,G,VS1,61.2,60.0,726,4.56,4.59,2.8
27096,2.01,Premium,D,SI2,61.8,59.0,17235,8.15,8.07,5.01
52169,0.7,Ideal,G,VS1,62.2,55.0,2475,5.69,5.72,3.55
34700,0.46,Very Good,J,VS1,62.5,58.0,874,4.87,4.92,3.06
17944,1.03,Good,E,VS1,63.3,59.0,7251,6.4,6.45,4.07
48289,0.52,Ideal,G,VVS2,61.6,55.0,1957,5.14,5.18,3.19
7419,1.11,Ideal,F,SI2,62.0,57.0,4227,6.67,6.64,4.13
1133,0.71,Premium,F,VS1,59.1,59.0,2920,5.88,5.83,3.46
14791,1.05,Premium,E,SI1,62.5,59.0,5951,6.5,6.43,4.04
10911,1.04,Premium,H,SI1,62.6,59.0,4890,6.43,6.47,4.04
50114,0.7,Good,G,SI1,62.7,59.0,2209,5.57,5.63,3.51
39692,0.4,Ideal,F,VVS2,62.4,56.0,1088,4.72,4.74,2.95
23633,1.5,Premium,I,VS2,61.4,58.0,11655,7.28,7.24,4.46
16901,1.21,Good,H,VS1,63.3,58.0,6748,6.72,6.77,4.27
41142,0.5,Very Good,G,SI1,62.1,56.0,1197,5.05,5.09,3.15
51598,0.7,Good,I,VVS2,63.3,55.0,2394,5.61,5.67,3.57
23422,1.57,Premium,H,VS2,62.2,58.0,11415,7.45,7.4,4.62
22565,1.52,Very Good,H,VS2,63.3,57.0,10618,7.33,7.32,4.64
30364,0.36,Premium,I,VS1,60.3,60.0,729,4.64,4.58,2.78
40987,0.45,Ideal,G,VVS2,61.8,57.0,1181,4.94,4.9,3.04
10753,1.01,Very Good,F,SI2,62.7,55.0,4853,6.32,6.4,3.99
5171,0.71,Ideal,G,IF,61.8,57.0,3772,5.7,5.75,3.54
12243,0.92,Very Good,D,VS1,60.6,61.0,5202,6.21,6.29,3.79
7035,0.9,Ideal,G,SI1,62.1,56.0,4161,6.16,6.2,3.84
17965,1.25,Premium,E,SI1,60.9,59.0,7260,6.98,7.02,4.26
11864,1.34,Fair,G,SI2,64.7,55.0,5106,7.03,6.97,4.53
46385,0.59,Very Good,F,VS2,62.0,58.0,1764,5.35,5.42,3.34
12415,1.06,Premium,F,SI1,61.0,58.0,5236,6.65,6.6,4.04
52563,0.7,Premium,I,VVS1,61.2,59.0,2536,5.69,5.65,3.47
5693,1.01,Very Good,I,SI1,62.0,54.0,3888,6.36,6.51,3.99
11166,1.07,Very Good,G,SI1,63.1,59.0,4949,6.49,6.45,4.08
4035,0.82,Very Good,G,VS2,62.1,56.0,3528,5.94,5.98,3.7
24323,1.6,Good,E,SI1,63.6,58.0,12581,7.44,7.38,4.71
37890,0.37,Premium,D,VS1,61.9,58.0,1006,4.62,4.56,2.84
16915,2.03,Fair,F,I1,65.6,56.0,6753,7.89,7.86,5.16
5977,1.12,Good,J,SI1,63.7,61.0,3951,6.54,6.5,4.15
18375,0.38,Ideal,J,VS2,61.4,57.0,617,4.65,4.68,2.87
33791,0.32,Premium,E,VVS2,61.1,58.0,842,4.42,4.45,2.71
31891,0.3,Ideal,G,VS1,61.9,56.0,776,4.34,4.29,2.67
40481,0.33,Ideal,F,VVS1,61.8,55.0,1141,4.44,4.46,2.75
49964,0.3,Premium,E,SI2,61.7,61.0,540,4.33,4.29,2.66
43520,0.59,Ideal,F,SI1,62.0,53.0,1424,5.38,5.43,3.35
14107,1.2,Ideal,G,SI2,61.1,57.0,5722,6.83,6.86,4.18
48452,0.55,Ideal,E,VS1,61.1,55.0,1975,5.3,5.33,3.25
7821,1.0,Very Good,D,SI2,63.3,60.0,4295,6.29,6.19,3.95
53351,0.7,Premium,E,VS2,62.0,60.0,2657,5.7,5.59,3.5
44222,0.57,Ideal,F,SI1,61.4,57.0,1571,5.35,5.3,3.27
24882,1.5,Good,G,VS2,61.4,58.8,13307,7.32,7.37,4.5
53791,0.7,Very Good,E,SI1,62.1,60.0,2730,5.62,5.66,3.5
755,0.72,Ideal,E,SI1,62.3,57.0,2857,5.76,5.7,3.57
17430,1.1,Very Good,F,VS2,61.1,57.0,6987,6.65,6.71,4.08
35186,0.31,Ideal,G,IF,62.1,54.0,891,4.36,4.37,2.71
52927,0.57,Very Good,F,VVS1,61.9,56.0,2591,5.31,5.34,3.29
28451,0.32,Ideal,D,VS2,61.2,56.0,671,4.38,4.41,2.69
18210,1.03,Ideal,G,VS1,62.4,56.0,7391,6.44,6.47,4.03
41434,0.57,Premium,E,SI2,61.0,60.0,1228,5.32,5.36,3.26
119,0.8,Ideal,F,SI2,59.9,59.0,2762,6.01,6.07,3.62
31180,0.32,Premium,D,SI1,61.3,60.0,756,4.43,4.41,2.71
45097,0.53,Very Good,G,VS1,62.3,55.0,1648,5.15,5.18,3.22
46964,0.37,Good,H,SI1,64.0,55.0,528,4.53,4.57,2.91
33079,0.47,Premium,I,SI2,61.5,62.0,814,5.01,4.95,3.06
41296,0.34,Ideal,D,VVS1,61.5,56.0,1211,4.5,4.47,2.76
23160,1.76,Premium,J,VS1,62.0,58.0,11177,7.74,7.7,4.79
41304,0.56,Ideal,I,SI1,61.8,54.0,1212,5.28,5.31,3.27
7314,1.02,Premium,H,SI2,60.9,59.0,4207,6.46,6.51,3.95
30969,0.38,Premium,I,SI1,60.5,58.0,746,4.72,4.67,2.84
21760,1.5,Very Good,I,VVS2,63.3,58.0,9828,7.24,7.21,4.57
45690,0.51,Very Good,E,VS1,60.4,59.0,1697,5.16,5.2,3.13
31352,0.42,Ideal,H,SI1,60.9,56.0,760,4.89,4.86,2.97
48648,0.34,Premium,I,VS1,61.0,60.0,537,4.48,4.51,2.74
45353,0.55,Premium,E,VS2,59.1,62.0,1664,5.37,5.32,3.16
29243,0.34,Very Good,E,VS2,62.7,56.0,696,4.48,4.51,2.82
13102,1.02,Very Good,E,SI1,60.6,59.0,5424,6.47,6.49,3.93
39104,0.41,Ideal,H,VS1,61.8,56.0,1061,4.81,4.77,2.96
49257,0.71,Good,I,SI1,60.9,64.0,2087,5.72,5.67,3.47
40331,0.5,Very Good,E,SI1,61.4,63.0,1128,5.06,5.1,3.12
5669,1.29,Very Good,J,SI2,63.5,57.0,3884,6.89,6.87,4.37
17652,1.1,Ideal,G,VS1,61.5,57.0,7111,6.65,6.62,4.08
37165,0.32,Ideal,D,VS2,61.1,56.0,972,4.41,4.39,2.69
11578,1.2,Premium,H,SI2,62.4,61.0,5040,6.81,6.78,4.24
50068,0.71,Ideal,F,SI2,61.6,56.0,2202,5.68,5.74,3.52
46276,0.55,Ideal,F,VS1,62.3,53.0,1754,5.28,5.31,3.3
32955,0.24,Very Good,F,VS2,61.3,54.0,461,4.02,4.07,2.47
49279,0.54,Good,F,VS1,63.7,55.0,2090,5.16,5.11,3.27
42807,0.4,Ideal,D,VVS2,60.9,57.0,1353,4.74,4.78,2.9
15801,1.22,Very Good,H,SI1,62.4,57.0,6323,6.78,6.82,4.24
19732,1.24,Ideal,H,VS1,62.1,56.0,8299,6.85,6.88,4.26
53494,1.01,Premium,J,SI2,58.3,62.0,2683,6.49,6.43,3.77
34832,0.3,Very Good,H,VVS1,63.3,59.0,878,4.28,4.22,2.69
26960,1.54,Ideal,F,VS2,61.0,56.0,17029,7.44,7.49,4.55
52984,0.72,Ideal,I,VVS2,62.5,56.0,2594,5.71,5.74,3.58
3185,0.73,Ideal,F,VVS1,61.9,56.0,3342,5.83,5.76,3.59
3349,0.91,Premium,E,SI2,58.5,60.0,3379,6.34,6.31,3.7
35327,0.38,Ideal,H,VVS2,62.1,54.0,898,4.62,4.66,2.88
51129,0.71,Ideal,E,SI2,58.7,57.0,2340,5.89,5.86,3.44
748,0.33,Good,I,SI1,63.6,53.0,557,4.43,4.4,2.81
23916,1.22,Ideal,E,VVS2,63.0,55.0,12036,6.83,6.78,4.29
32518,0.4,Very Good,D,SI2,63.4,59.0,798,4.7,4.67,2.97
52040,0.71,Very Good,H,VS2,59.2,63.0,2450,5.85,5.81,3.45
2566,0.91,Good,J,VS1,64.2,60.0,3210,6.01,5.95,3.84
9053,0.34,Ideal,I,SI1,61.9,57.0,589,4.52,4.49,2.79
27254,1.5,Premium,E,VVS2,58.7,61.0,17667,7.49,7.36,4.36
34827,0.3,Ideal,H,VVS1,63.0,54.0,878,4.3,4.27,2.7
38555,0.31,Ideal,D,VVS2,61.2,55.0,1034,4.37,4.42,2.69
21923,1.54,Ideal,I,VS2,61.9,55.8,9998,7.38,7.43,4.58
2730,0.9,Good,G,SI2,64.1,63.0,3246,6.02,5.99,3.85
11872,1.2,Ideal,I,SI1,62.5,57.0,5107,6.77,6.71,4.21
37109,0.38,Ideal,G,SI1,61.6,56.0,969,4.68,4.63,2.86
17468,1.39,Premium,H,VS2,62.5,59.0,7006,7.17,7.1,4.46
34801,0.31,Ideal,D,VS1,60.5,55.0,877,4.43,4.39,2.67
27800,0.37,Premium,H,VS1,60.9,60.0,649,4.6,4.63,2.81
46637,0.3,Good,E,SI1,63.7,58.0,526,4.24,4.27,2.71
27228,2.01,Premium,I,VS2,61.1,60.0,17592,8.12,8.06,4.94
9408,0.92,Ideal,H,SI1,61.6,56.0,4587,6.21,6.25,3.84
42592,0.5,Very Good,E,SI1,60.9,58.0,1331,5.1,5.14,3.12
45074,0.52,Ideal,E,VS2,61.5,56.0,1644,5.14,5.17,3.17
49151,0.74,Fair,E,SI1,66.0,56.0,2069,5.6,5.67,3.72
32775,0.34,Premium,D,SI1,62.7,59.0,803,4.45,4.42,2.78
20047,0.28,Ideal,E,VS1,61.4,56.0,625,4.24,4.2,2.59
5255,1.01,Very Good,I,SI2,61.4,63.0,3792,6.33,6.38,3.9
4341,0.78,Very Good,E,VS1,60.0,56.0,3601,6.0,6.03,3.61
22433,1.57,Ideal,I,VS2,62.8,57.0,10462,7.46,7.37,4.66
12765,1.07,Ideal,E,SI2,62.2,55.0,5325,6.54,6.58,4.08
50502,0.67,Good,E,VS2,61.6,61.0,2270,5.57,5.6,3.44
18549,1.21,Premium,H,VS2,59.9,59.0,7562,6.94,6.92,4.15
24830,1.53,Very Good,G,VS1,60.3,59.0,13228,7.52,7.58,4.55
53726,0.72,Premium,D,VS2,61.0,59.0,2721,5.77,5.74,3.51
30245,0.33,Good,F,VVS1,60.2,64.0,724,4.47,4.5,2.7
49893,0.54,Ideal,D,VS2,60.0,56.0,2177,5.39,5.28,3.2
28660,0.39,Ideal,E,SI1,62.0,56.0,676,4.72,4.65,2.91
47878,0.52,Ideal,G,VVS2,62.3,55.0,1911,5.12,5.16,3.2
19246,1.5,Good,D,SI1,56.6,64.0,7980,7.51,7.43,4.23
51485,0.55,Ideal,F,VVS1,61.9,55.0,2380,5.27,5.3,3.27
1293,0.74,Ideal,I,IF,62.1,53.9,2952,5.79,5.81,3.6
44391,0.51,Very Good,E,VS1,58.1,60.0,1583,5.28,5.32,3.08
51451,0.6,Premium,H,VS1,60.8,59.0,2376,5.49,5.43,3.32
6688,1.11,Very Good,E,SI2,61.7,63.0,4102,6.54,6.65,4.07
47088,0.73,Premium,H,SI2,60.5,57.0,1824,5.84,5.76,3.51
30193,0.42,Good,F,SI1,63.4,56.0,722,4.75,4.78,3.02
20853,1.14,Ideal,F,VS1,61.7,55.0,9074,6.68,6.71,4.13
4286,0.7,Ideal,E,VVS2,62.2,54.0,3585,5.68,5.74,3.55
48533,0.71,Very Good,H,SI1,62.5,63.0,1986,5.66,5.63,3.53
24946,1.11,Premium,D,VVS1,62.0,54.0,13405,6.67,6.63,4.16
48131,0.9,Good,H,I1,57.4,63.0,1939,6.38,6.33,3.65
51014,0.71,Premium,I,VS1,61.8,58.0,2327,5.76,5.72,3.55
10995,1.19,Ideal,H,SI2,62.0,57.0,4914,6.77,6.81,4.21
32744,0.31,Ideal,D,VS2,60.7,57.0,803,4.37,4.4,2.66
27700,0.32,Ideal,F,SI1,61.0,55.0,648,4.45,4.47,2.72
1251,0.77,Ideal,I,SI1,61.5,56.0,2946,5.9,5.93,3.64
48701,0.62,Premium,F,VS2,62.3,60.0,2009,5.46,5.39,3.38
36401,0.31,Premium,D,VS2,62.6,59.0,942,4.33,4.3,2.7
52583,0.97,Fair,J,SI2,60.8,67.0,2538,6.41,6.32,3.87
